grid_id,centroid_lat,centroid_lon,area_m2
G0378,28.721375288647383,77.30752939245222,250000.0
G0379,28.72588478376761,77.30762846447246,250000.0
G0380,28.73039427556598,77.3077275592256,250000.0
G0381,28.734903764042112,77.30782667671579,250000.0
G0382,28.739413249195614,77.30792581694716,250000.0
G0383,28.743922731026103,77.30802497992387,250000.0
G0384,28.748432209533213,77.30812416565001,250000.0
G0385,28.752941684716536,77.30822337412978,250000.0
G0386,28.757451156575694,77.30832260536727,250000.0
G0387,28.76196062511031,77.30842185936663,250000.0
G0388,28.766470090319995,77.30852113613203,250000.0
G0389,28.770979552204363,77.3086204356676,250000.0
G0390,28.77548901076304,77.3087197579775,250000.0
G0391,28.779998465995625,77.30881910306584,250000.0
G0392,28.78450791790174,77.30891847093682,250000.0
G0393,28.78901736648102,77.30901786159454,250000.0
G0394,28.792519876182755,77.30971480365854,118633.98240776645
G0395,28.7138300263905,77.31231734451381,75679.57209876183
G0396,28.716778386636282,77.31254574892847,250000.0
G0397,28.721287868829936,77.31264501732836,250000.0
G0398,28.725797347700773,77.31274430850725,250000.0
G0399,28.730306823248387,77.31284362246929,250000.0
G0400,28.734816295472402,77.3129429592186,250000.0
G0401,28.73932576437243,77.31304231875934,250000.0
G0402,28.743835229948083,77.31314170109566,250000.0
G0403,28.74834469219899,77.3132411062317,250000.0
G0404,28.75285415112476,77.3133405341716,250000.0
G0405,28.757363606725,77.31343998491954,250000.0
G0406,28.761873058999328,77.31353945847964,250000.0
G0407,28.76638250794736,77.31363895485606,250000.0
G0408,28.770891953568718,77.31373847405297,250000.0
G0409,28.775401395863025,77.31383801607451,250000.0
G0410,28.779910834829867,77.31393758092484,250000.0
G0411,28.784420270468893,77.31403716860812,250000.0
G0412,28.788929702779704,77.31413677912852,250000.0
G0413,28.793150592251784,77.31430129615792,217548.56040956435
G0414,28.63763534269844,77.31790605248318,2935.499521502881
G0415,28.639150698667823,77.31795987849443,37907.724024478935
G0416,28.713880687736538,77.31739934222216,53783.40152025565
G0417,28.716690789861474,77.3176611319213,250000.0
G0418,28.72120025577121,77.3177606194255,250000.0
G0419,28.725709718356754,77.31786012975891,250000.0
G0420,28.730219177617716,77.31795966292567,250000.0
G0421,28.73472863355372,77.31805921892997,250000.0
G0422,28.739238086164377,77.31815879777594,250000.0
G0423,28.743747535449288,77.31825839946774,250000.0
G0424,28.748256981408083,77.31835802400951,250000.0
G0425,28.75276642404038,77.31845767140543,250000.0
G0426,28.757275863345786,77.31855734165964,250000.0
G0427,28.76178529932391,77.31865703477632,250000.0
G0428,28.766294731974387,77.31875675075962,250000.0
G0429,28.770804161296816,77.31885648961371,250000.0
G0430,28.77531358729082,77.31895625134274,250000.0
G0431,28.779823009955997,77.31905603595088,250000.0
G0432,28.784332429291993,77.31915584344233,250000.0
G0433,28.788841845298396,77.31925567382123,250000.0
G0434,28.793260581476297,77.31939848524217,239692.67698930734
G0435,28.796622701451334,77.32120015949666,40123.56238883015
G0436,28.637100153141727,77.32174102980045,50331.945106505766
G0437,28.639940400712582,77.3210865992163,249835.98083606086
G0438,28.644216762611542,77.32173020070739,190420.69152893525
