grid_id,centroid_lat,centroid_lon,ndvi,ndbi,lst_celsius
G1067,28.755754619136123,77.40554886725454,0.45568788,-0.07606882,42.5571
G1068,28.760263772584366,77.40565229218875,0.3604698,-0.069963686,44.625
G1069,28.764772922681285,77.40575574084443,0.32980677,0.025071172,43.955048
G1070,28.769282069426477,77.40585921322591,0.4440322,-0.08686612,43.17575
G1071,28.77379121281954,77.4059627093375,0.493557,-0.11380277,43.09372
G1072,28.7783003528601,77.40606622918352,0.5226947,-0.16006655,42.61862
G1073,28.782554290840796,77.40689988554323,0.68327564,-0.2516143,40.188385
G1074,28.78744121045548,77.40704476951264,0.58258265,-0.1983164,40.075592
G1075,28.791932427368465,77.40656887560475,0.6327287,-0.30279672,38.776764
G1076,28.796336879489417,77.40648054599849,0.42425337,-0.07060355,42.946747
G1077,28.800846002761563,77.40658418458158,0.41337088,-0.032376163,43.456024
G1078,28.80535512267886,77.40668784692504,0.32598495,-0.048074093,43.770477
G1079,28.809864239240905,77.40679153303324,0.2659437,0.052891534,48.10794
G1080,28.814407346286888,77.40703071128131,0.62205094,-0.19728243,37.90518
G1081,28.818882462297683,77.40699897656116,0.52722275,-0.13358137,44.481445
G1082,28.823391568791653,77.40710273398955,0.57513934,-0.21381629,41.808563
G1083,28.827900671928795,77.40720651519997,0.5190147,-0.17366217,37.23526
G1084,28.832409771708743,77.40731032019681,0.27452868,0.055732083,47.195343
G1085,28.835771331132086,77.40734532504285,0.29724294,0.046037585,48.02249
G1086,28.847557424907823,77.40881567586956,0.5262721,-0.12792687,39.05362
G1087,28.85045174484192,77.40773206562416,0.58625513,-0.1930057,36.07309
G1088,28.854955220236867,77.40782970212902,0.40006566,-0.03556674,41.870087
G1089,28.859464299865408,77.40793364993546,0.4458675,-0.075415105,42.509247
G1090,28.863775838633337,77.4084126614483,0.530608,-0.16412686,39.682526
G1091,28.868694056907863,77.40882657688904,0.25510615,0.08750127,46.214386
G1092,28.872997368833904,77.40825281222365,0.43793252,-0.044616967,43.879852
G1093,28.876355175204925,77.40857066503779,0.41832694,-0.050039623,43.924286
G1094,28.630744727554525,77.40813738629014,0.16250718,0.03188098,45.947784
G1095,28.63391544122993,77.40787637553393,0.20125885,0.007153322,46.66214
G1096,28.638424668111785,77.40797937974182,0.14022422,0.041277744,46.56302
G1097,28.64293389165148,77.40808240760515,0.18266085,-0.021926375,44.983887
G1098,28.647443111848627,77.40818545912822,0.28182188,-0.08751556,44.823242
G1099,28.651952328702816,77.40828853431529,0.3006325,-0.106690764,45.28125
G1100,28.656461542213663,77.40839163317067,0.45816666,-0.17383797,40.509705
G1101,28.660970752380788,77.40849475569867,0.5230302,-0.16642016,41.822235
G1102,28.665479959203772,77.40859790190356,0.498521,-0.12548599,43.589325
G1103,28.66998916268225,77.40870107178966,0.56133133,-0.17774248,42.810028
G1104,28.67449836281581,77.40880426536124,0.19109365,0.10435889,48.542053
G1105,28.67900755960407,77.40890748262262,0.44927648,-0.16014971,44.536133
G1106,28.68351675304664,77.40901072357809,0.20791833,-0.015667265,47.106476
G1107,28.688025943143103,77.40911398823198,0.23336294,-0.035511903,45.24707
G1108,28.692535129893084,77.40921727658855,0.21327116,-0.034199275,44.966797
G1109,28.6970443132962,77.40932058865212,0.62330204,-0.26631415,39.856842
G1110,28.701553493352048,77.40942392442702,0.27244607,-0.019884951,45.824738
G1111,28.70606267006024,77.40952728391753,0.4729696,-0.07819488,42.998016
G1112,28.710571843420368,77.40963066712797,0.22393373,-0.011976547,45.749542
G1113,28.71508101343206,77.40973407406265,0.48167837,-0.1442821,44.283173
G1114,28.719590180094915,77.40983750472589,0.33198768,-0.028890885,43.572235
G1115,28.72409934340854,77.40994095912197,0.26738304,0.043886267,44.905273
G1116,28.728608503372545,77.41004443725525,0.40261382,-0.07127637,47.427765
G1117,28.733117659986537,77.41014793913003,0.6699572,-0.26919124,43.39792
G1118,28.73762681325013,77.4102514647506,0.71235573,-0.31631646,41.89743
G1119,28.742135963162923,77.41035501412134,0.25435346,0.031128963,42.782684
G1120,28.74664510972452,77.4104585872465,0.4671207,-0.096898474,44.628418
G1121,28.75115425293454,77.41056218413044,0.32415295,-0.046207782,44.80957
G1122,28.75566339279259,77.4106658047775,0.23960748,0.07933342,47.543976
G1123,28.76017252929828,77.41076944919196,0.37187845,0.0039248127,48.904358
G1124,28.76468166245121,77.41087311737817,0.53169155,-0.15268055,44.05075
G1125,28.76919079225099,77.41097680934048,0.25582543,0.0761366,47.25345
G1126,28.77369991869724,77.41108052508318,0.33494332,0.019836912,45.927277
G1127,28.778209041789545,77.41118426461061,0.2881485,-0.27036217,40.403748
G1128,28.782718161527537,77.41128802792713,0.31823647,0.03425698,46.09134
G1129,28.787227277910816,77.41139181503704,0.69106925,-0.32296836,38.84854
G1130,28.79173639093899,77.41149562594468,0.65750104,-0.25647888,38.69815
G1131,28.79624550061166,77.4115994606544,0.3200332,-0.075866155,43.592743
G1132,28.800754606928464,77.41170331917053,0.36194614,-0.05427561,45.476105
G1133,28.80526370988897,77.4118072014974,0.25277543,0.07029643,45.60257
G1134,28.80977280949281,77.41191110763938,0.33302602,0.014583249,42.615204
G1135,28.81428190573958,77.41201503760077,0.41109803,-0.075837545,41.859833
G1136,28.81879099862892,77.41211899138594,0.3429645,-0.037647083,44.283173
